price, distance
$, close
$$, far
$$, far
$, close
$$, far
$, far
$$$, close
$$, close
$$, close
$$$, far
$, far
$$, far
$$, far
$$$, far
$$, close
$$, far
$$, far
$$, far
$$$, far
$$, close
$$, far
$, far
$$, close
$$, close
$$, far
$$$, far
$, far
$$$, far
$, close
$$, far
$$$, close
$$, far
$$$, close
$$, close
$, close
$, close
$, far
$$$, far
$$$, far
$, close
$$$, far
$, far
$, far
$, far
$$, far
$$, close
$$, close
$$$, close
$, far
$$, far
$, close
$, close
$, far
$$, far
$$$, close
$, close
$$$, close
$, far
$$, close
$$, far
$$, close
$$, far
$$, close
$$$, close
$$$, far
$, close
$$, far
$, close
$, close
$$$, far
$, far
$$, close
$$, far
$$$, far
$, far
$, close
$, far
$, far
$$, close
$$, close
$$, close
$, far
$, close
$, far
$, far
$, far
$, close
$$, close
$$, close
$$$, far
$, close
$$$, close
$$, close
$, far
$, far
$, close
$$$, far
$$, far
$$, far
$$$, far
